channel,impressions,clicks,ad_platform,apps_flyer,date,spends,cpi,country
Snapchat,70147,380,13.0,11,2023-07-13,140.0,119,KSA
Google UAC,14280,807,134.0,0,2023-07-13,54.950000000000000,120,KSA
Google UAC,8175,474,95.0,0,2023-07-13,56.94,121,UAE
Google UAC,13743,310,11.0,0,2023-07-13,57.620000000000000,122,KSA
Google UAC,19270,156,7.0,0,2023-07-13,55.17,123,UAE
TikTok,25260,721,0.0,0,2023-07-13,60.0,124,KSA
TikTok,10760,444,0.0,3,2023-07-13,40.21,125,UAE
TikTok,66885,21079,0.0,167,2023-07-13,138.51,126,KSA
TikTok,33610,7848,0.0,68,2023-07-13,92.9,127,UAE
Organic,0,0,0.0,7,2023-07-13,0.0,128,Others
Organic,0,0,0.0,62,2023-07-13,0.0,129,KSA
Organic,0,0,0.0,151,2023-07-13,0.0,130,Others
Organic,0,0,0.0,22,2023-07-13,0.0,131,UAE
Organic,0,0,0.0,326,2023-07-13,0.0,132,KSA
Organic,0,0,0.0,200,2023-07-13,0.0,133,UAE
Programmatic,,1,0.0,0,2023-07-13,0.0,134,KSA
Programmatic,,3,0.0,0,2023-07-13,0.0,135,UAE
Programmatic,,2,0.0,0,2023-07-13,0.0,136,KSA
Programmatic,,3,0.0,0,2023-07-13,0.0,137,UAE
Meta,0,0,0.0,3,2023-07-13,0.0,138,KSA
Meta,7080,76,8.0,4,2023-07-13,9.63,139,KSA
Meta,7725,75,12.0,7,2023-07-13,13.12,140,KSA
Meta,0,0,0.0,2,2023-07-13,0.0,141,Others
Meta,0,0,0.0,1,2023-07-13,0.0,142,Others
Meta,916,10,2.0,1,2023-07-13,1.8500000000000000,143,UAE
Programmatic,22723,5,0.0,0,2023-07-13,0.0,144,UAE
Programmatic,8,1,0.0,0,2023-07-13,0.0,145,Others
Programmatic,,11291,0.0,21,2023-07-13,0.0,146,Others
Programmatic,,7,0.0,0,2023-07-13,0.0,147,Others
Apple Search,0,0,0.0,1,2023-07-13,0.0,148,UAE
Apple Search,0,0,0.0,2,2023-07-13,0.0,149,KSA
TikTok,0,0,0.0,0,2023-07-13,0.0,150,Others
TikTok,0,0,0.0,0,2023-07-13,0.0,151,KSA
TikTok,0,0,0.0,0,2023-07-13,0.0,152,Others
TikTok,0,0,0.0,0,2023-07-13,0.0,153,UAE
TikTok,0,0,0.0,11,2023-07-13,0.0,154,Others
TikTok,0,0,0.0,0,2023-07-13,0.0,155,Others
TikTok,0,0,0.0,0,2023-07-13,0.0,156,KSA
Meta,1421,11,2.0,0,2023-07-13,5.58,157,UAE
Meta,5363,43,1.0,0,2023-07-13,14.69,158,KSA
Meta,922,10,0.0,0,2023-07-13,3.6000000000000000,159,UAE
Apple Search,73,3,2.0,0,2023-07-14,1.01,160,KSA
Apple Search,150,5,3.0,0,2023-07-14,4.42,161,UAE
Snapchat,21915,56,1.0,0,2023-07-14,40.0,162,UAE
Snapchat,24031,110,3.0,0,2023-07-14,60.0,163,KSA
Snapchat,27024,133,5.0,3,2023-07-14,92.0,164,UAE
Snapchat,56315,341,8.0,8,2023-07-14,139.99,165,KSA
Google UAC,14356,733,159.0,0,2023-07-14,51.97,166,KSA
Google UAC,15360,462,125.0,0,2023-07-14,52.450000000000000,167,UAE
Google UAC,15370,245,4.0,0,2023-07-14,55.42,168,KSA
Google UAC,17037,136,3.0,0,2023-07-14,54.31,169,UAE
TikTok,26004,1156,0.0,7,2023-07-14,59.93,170,KSA
TikTok,10033,884,0.0,2,2023-07-14,40.02,171,UAE
TikTok,57775,14618,0.0,128,2023-07-14,139.21,172,KSA
TikTok,36935,4987,0.0,54,2023-07-14,92.74,173,UAE
Organic,0,0,0.0,46,2023-07-14,0.0,174,KSA
Organic,0,0,0.0,8,2023-07-14,0.0,175,Others
Organic,0,0,0.0,23,2023-07-14,0.0,176,UAE
Organic,0,0,0.0,51,2023-07-14,0.0,177,Others
Organic,0,0,0.0,104,2023-07-14,0.0,178,KSA
Organic,0,0,0.0,136,2023-07-14,0.0,179,UAE
Meta,0,0,0.0,1,2023-07-14,0.0,180,Others
Meta,18137,100,5.0,3,2023-07-14,9.82,181,KSA
Meta,0,0,0.0,1,2023-07-14,0.0,182,Others
Meta,19380,77,9.0,2,2023-07-14,14.380000000000000,183,KSA
Meta,0,0,0.0,4,2023-07-14,0.0,184,KSA
Meta,1831,12,1.0,1,2023-07-14,2.4700000000000000,185,UAE
Programmatic,343,,0.0,0,2023-07-14,0.0,186,Others
Programmatic,1959183,868,0.0,0,2023-07-14,0.0,187,UAE
Programmatic,65,,0.0,0,2023-07-14,0.0,188,Others
Programmatic,401269,186,0.0,0,2023-07-14,0.0,189,UAE
Snapchat,0,0,0.0,1,2023-07-14,0.0,190,Others
Apple Search,0,0,0.0,1,2023-07-14,0.0,191,UAE
Apple Search,0,0,0.0,3,2023-07-14,0.0,192,UAE
Apple Search,0,0,0.0,1,2023-07-14,0.0,193,KSA
Google UAC,0,0,0.0,1,2023-07-14,0.0,194,KSA
Google UAC,0,0,0.0,2,2023-07-14,0.0,195,Others
Google UAC,0,0,0.0,13,2023-07-14,0.0,196,KSA
Google UAC,0,0,0.0,3,2023-07-14,0.0,197,KSA
Google UAC,0,0,0.0,8,2023-07-14,0.0,198,KSA
Google UAC,0,0,0.0,4,2023-07-14,0.0,199,UAE
Google UAC,0,0,0.0,1,2023-07-14,0.0,200,UAE
Google UAC,0,0,0.0,1,2023-07-14,0.0,201,Others
TikTok,0,0,0.0,0,2023-07-14,0.0,202,Others
TikTok,0,0,0.0,0,2023-07-14,0.0,203,Others
TikTok,0,0,0.0,0,2023-07-14,0.0,204,KSA
TikTok,0,0,0.0,0,2023-07-14,0.0,205,UAE
TikTok,0,0,0.0,1,2023-07-14,0.0,206,Others
TikTok,0,0,0.0,2,2023-07-14,0.0,207,Others
TikTok,0,0,0.0,0,2023-07-14,0.0,208,KSA
TikTok,0,0,0.0,0,2023-07-14,0.0,209,UAE
Meta,7164,30,5.0,0,2023-07-14,16.11,210,KSA
Meta,684,9,2.0,0,2023-07-14,3.75,211,UAE
Meta,1811,7,0.0,0,2023-07-14,3.4700000000000000,212,UAE
Apple Search,106,5,3.0,0,2023-07-15,3.16,213,KSA
Apple Search,229,8,4.0,0,2023-07-15,7.11,214,UAE
Snapchat,21686,62,2.0,1,2023-07-15,39.98,215,UAE
Snapchat,31117,104,0.0,0,2023-07-15,59.99,216,KSA
Snapchat,29219,196,4.0,3,2023-07-15,91.99,217,UAE
Snapchat,60074,367,10.0,10,2023-07-15,140.0,218,KSA
Google UAC,14497,698,109.0,0,2023-07-15,52.19,219,KSA
Google UAC,12325,500,118.0,0,2023-07-15,52.53,220,UAE
Google UAC,16421,205,10.0,0,2023-07-15,54.94,221,KSA
Google UAC,16881,90,3.0,0,2023-07-15,52.79,222,UAE
TikTok,28246,1513,0.0,6,2023-07-15,59.81,223,KSA
TikTok,12855,958,0.0,1,2023-07-15,39.56,224,UAE
TikTok,52066,14597,0.0,129,2023-07-15,138.97,225,KSA
TikTok,32774,4902,0.0,71,2023-07-15,91.94,226,UAE
Organic,0,0,0.0,52,2023-07-15,0.0,227,Others
Organic,0,0,0.0,98,2023-07-15,0.0,228,UAE
Organic,0,0,0.0,9,2023-07-15,0.0,229,Others
Organic,0,0,0.0,34,2023-07-15,0.0,230,KSA
Organic,0,0,0.0,16,2023-07-15,0.0,231,UAE
Organic,0,0,0.0,60,2023-07-15,0.0,232,KSA
Meta,0,0,0.0,1,2023-07-15,0.0,233,Others
Meta,0,0,0.0,1,2023-07-15,0.0,234,UAE
Meta,1460,16,7.0,5,2023-07-15,1.44,235,UAE
Meta,943,5,2.0,2,2023-07-15,3.3900000000000000,236,UAE
Meta,6548,49,5.0,1,2023-07-15,17.96,237,KSA
Meta,0,0,0.0,2,2023-07-15,0.0,238,KSA
Meta,13587,62,7.0,3,2023-07-15,8.85,239,KSA
Meta,13050,70,8.0,5,2023-07-15,13.060000000000000,240,KSA
Meta,0,0,0.0,1,2023-07-15,0.0,241,Others
Meta,0,0,0.0,6,2023-07-15,0.0,242,KSA
Programmatic,346,,0.0,0,2023-07-15,0.0,243,Others
Programmatic,1959112,873,0.0,0,2023-07-15,0.0,244,UAE
Programmatic,144,,0.0,0,2023-07-15,0.0,245,Others
Programmatic,889356,495,0.0,0,2023-07-15,0.0,246,UAE
Apple Search,0,0,0.0,1,2023-07-15,0.0,247,UAE
Apple Search,0,0,0.0,1,2023-07-15,0.0,248,Others
Apple Search,0,0,0.0,1,2023-07-15,0.0,249,UAE
Apple Search,0,0,0.0,1,2023-07-15,0.0,250,KSA
Google UAC,0,0,0.0,2,2023-07-15,0.0,251,Others
Google UAC,0,0,0.0,1,2023-07-15,0.0,252,Others
Google UAC,0,0,0.0,4,2023-07-15,0.0,253,UAE
Google UAC,0,0,0.0,1,2023-07-15,0.0,254,KSA
Google UAC,0,0,0.0,11,2023-07-15,0.0,255,KSA
Google UAC,0,0,0.0,1,2023-07-15,0.0,256,Others
Google UAC,0,0,0.0,10,2023-07-15,0.0,257,KSA
Google UAC,0,0,0.0,6,2023-07-15,0.0,258,KSA
TikTok,0,0,0.0,1,2023-07-15,0.0,259,Others
TikTok,0,0,0.0,7,2023-07-15,0.0,260,Others
TikTok,0,0,0.0,0,2023-07-15,0.0,261,UAE
TikTok,0,0,0.0,0,2023-07-15,0.0,262,Others
TikTok,0,0,0.0,0,2023-07-15,0.0,263,KSA
TikTok,0,0,0.0,0,2023-07-15,0.0,264,Others
TikTok,0,0,0.0,0,2023-07-15,0.0,265,UAE
TikTok,0,0,0.0,0,2023-07-15,0.0,266,KSA
Meta,1024,14,6.0,0,2023-07-15,5.3,267,UAE
Apple Search,134,7,3.0,0,2023-07-16,5.37,268,KSA
Apple Search,214,8,3.0,0,2023-07-16,7.89,269,UAE
Snapchat,20112,99,0.0,0,2023-07-16,39.99,270,UAE
Snapchat,31556,101,0.0,0,2023-07-16,60.0,271,KSA
Snapchat,27466,195,2.0,3,2023-07-16,92.0,272,UAE
Snapchat,63105,475,15.0,13,2023-07-16,138.94,273,KSA
Google UAC,17015,685,133.0,0,2023-07-16,51.54,274,KSA
Google UAC,15043,480,129.0,0,2023-07-16,51.78,275,UAE
Google UAC,26871,205,8.0,0,2023-07-16,53.980000000000000,276,KSA
Google UAC,11678,89,2.0,0,2023-07-16,53.22,277,UAE
TikTok,27312,1603,0.0,5,2023-07-16,60.0,278,KSA
TikTok,12365,1078,0.0,5,2023-07-16,40.1,279,UAE
TikTok,50280,13644,0.0,121,2023-07-16,134.9,280,KSA
TikTok,39901,6080,0.0,50,2023-07-16,92.03,281,UAE
Organic,0,0,0.0,9,2023-07-16,0.0,282,Others
Organic,0,0,0.0,49,2023-07-16,0.0,283,Others
Organic,0,0,0.0,26,2023-07-16,0.0,284,KSA
Organic,0,0,0.0,24,2023-07-16,0.0,285,UAE
Organic,0,0,0.0,79,2023-07-16,0.0,286,KSA
Organic,0,0,0.0,115,2023-07-16,0.0,287,UAE
Meta,6530,34,4.0,1,2023-07-16,14.550000000000000,288,KSA
Meta,0,0,0.0,1,2023-07-16,0.0,289,KSA
Meta,17892,79,5.0,4,2023-07-16,8.5200000000000000,290,KSA
Meta,7946,37,8.0,4,2023-07-16,10.68,291,KSA
Meta,0,0,0.0,1,2023-07-16,0.0,292,Others
Meta,0,0,0.0,5,2023-07-16,0.0,293,KSA
Meta,3041,12,4.0,3,2023-07-16,2.8900000000000000,294,UAE
Meta,723,3,1.0,1,2023-07-16,3.38,295,UAE
Meta,0,0,0.0,1,2023-07-16,0.0,296,UAE
Programmatic,159,,0.0,0,2023-07-16,0.0,297,Others
Programmatic,963261,449,0.0,0,2023-07-16,0.0,298,UAE
Programmatic,88,,0.0,0,2023-07-16,0.0,299,Others
Programmatic,542798,243,0.0,0,2023-07-16,0.0,300,UAE
Apple Search,0,0,0.0,1,2023-07-16,0.0,301,KSA
Apple Search,0,0,0.0,1,2023-07-16,0.0,302,Others
Apple Search,0,0,0.0,2,2023-07-16,0.0,303,UAE
Apple Search,0,0,0.0,2,2023-07-16,0.0,304,KSA
Google UAC,0,0,0.0,3,2023-07-16,0.0,305,Others
Google UAC,0,0,0.0,11,2023-07-16,0.0,306,KSA
Google UAC,0,0,0.0,1,2023-07-16,0.0,307,Others
Google UAC,0,0,0.0,4,2023-07-16,0.0,308,KSA
Google UAC,0,0,0.0,2,2023-07-16,0.0,309,KSA
Google UAC,0,0,0.0,1,2023-07-16,0.0,310,Others
Google UAC,0,0,0.0,2,2023-07-16,0.0,311,UAE
Google UAC,0,0,0.0,1,2023-07-16,0.0,312,UAE
Google UAC,0,0,0.0,2,2023-07-16,0.0,313,UAE
Google UAC,0,0,0.0,2,2023-07-16,0.0,314,UAE
TikTok,0,0,0.0,0,2023-07-16,0.0,315,Others
TikTok,0,0,0.0,0,2023-07-16,0.0,316,Others
TikTok,0,0,0.0,0,2023-07-16,0.0,317,UAE
TikTok,0,0,0.0,0,2023-07-16,0.0,318,KSA
TikTok,0,0,0.0,0,2023-07-16,0.0,319,Others
TikTok,0,0,0.0,4,2023-07-16,0.0,320,Others
TikTok,0,0,0.0,0,2023-07-16,0.0,321,KSA
Meta,3041,20,2.0,0,2023-07-16,9.98,322,UAE
Apple Search,114,7,3.0,0,2023-07-17,3.21,323,KSA
Apple Search,213,11,3.0,0,2023-07-17,13.96,324,UAE
Snapchat,19701,75,0.0,0,2023-07-17,30.42,325,UAE
Snapchat,20886,98,0.0,0,2023-07-17,60.0,326,KSA
Snapchat,25583,208,2.0,2,2023-07-17,92.0,327,UAE
Snapchat,71771,516,7.0,7,2023-07-17,140.0,328,KSA
Google UAC,21431,654,110.0,15,2023-07-17,53.090000000000000,329,KSA
Google UAC,18843,468,86.0,14,2023-07-17,54.760000000000000,330,UAE
Google UAC,29312,146,8.0,0,2023-07-17,56.76,331,KSA
Google UAC,14748,97,9.0,0,2023-07-17,45.37,332,UAE
TikTok,28089,1164,0.0,5,2023-07-17,60.0,333,KSA
TikTok,10212,1023,0.0,2,2023-07-17,40.08,334,UAE
TikTok,50987,15422,0.0,165,2023-07-17,138.08,335,KSA
TikTok,31633,6632,0.0,72,2023-07-17,92.46,336,UAE
Organic,0,0,0.0,6,2023-07-17,0.0,337,Others
Organic,0,0,0.0,23,2023-07-17,0.0,338,UAE
Organic,0,0,0.0,23,2023-07-17,0.0,339,KSA
Organic,0,0,0.0,38,2023-07-17,0.0,340,Others
Organic,0,0,0.0,62,2023-07-17,0.0,341,KSA
Organic,0,0,0.0,113,2023-07-17,0.0,342,UAE
Programmatic,,2,0.0,0,2023-07-17,0.0,343,Others
Programmatic,3,,0.0,0,2023-07-17,0.0,344,UAE
Programmatic,3,,0.0,0,2023-07-17,0.0,345,KSA
Programmatic,21,,0.0,0,2023-07-17,0.0,346,KSA
Programmatic,1,,0.0,0,2023-07-17,0.0,347,Others
Programmatic,1,1,0.0,0,2023-07-17,0.0,348,Others
Programmatic,15,1,0.0,0,2023-07-17,0.0,349,UAE
Programmatic,572,,0.0,0,2023-07-17,0.0,350,UAE
Meta,20480,136,9.0,5,2023-07-17,10.58,351,KSA
Meta,12834,73,6.0,3,2023-07-17,13.65,352,KSA
Meta,0,0,0.0,2,2023-07-17,0.0,353,Others
Meta,0,0,0.0,1,2023-07-17,0.0,354,Others
Meta,1897,6,1.0,2,2023-07-17,1.45,355,UAE
Meta,1115,12,5.0,1,2023-07-17,4.1,356,UAE
Meta,0,0,0.0,2,2023-07-17,0.0,357,UAE
Apple Search,0,0,0.0,1,2023-07-17,0.0,358,UAE
Apple Search,0,0,0.0,1,2023-07-17,0.0,359,Others
Apple Search,0,0,0.0,2,2023-07-17,0.0,360,UAE
Apple Search,0,0,0.0,3,2023-07-17,0.0,361,KSA
Google UAC,0,0,0.0,2,2023-07-17,0.0,362,KSA
Google UAC,0,0,0.0,2,2023-07-17,0.0,363,KSA
Google UAC,0,0,0.0,3,2023-07-17,0.0,364,KSA
Google UAC,0,0,0.0,1,2023-07-17,0.0,365,Others
Google UAC,0,0,0.0,1,2023-07-17,0.0,366,Others
Google UAC,0,0,0.0,3,2023-07-17,0.0,367,UAE
Google UAC,0,0,0.0,2,2023-07-17,0.0,368,UAE
Google UAC,0,0,0.0,1,2023-07-17,0.0,369,UAE
TikTok,0,0,0.0,0,2023-07-17,0.0,370,Others
TikTok,0,0,0.0,0,2023-07-17,0.0,371,Others
TikTok,0,0,0.0,0,2023-07-17,0.0,372,UAE
TikTok,0,0,0.0,0,2023-07-17,0.0,373,KSA
TikTok,0,0,0.0,1,2023-07-17,0.0,374,Others
TikTok,0,0,0.0,4,2023-07-17,0.0,375,Others
TikTok,0,0,0.0,0,2023-07-17,0.0,376,KSA
TikTok,0,0,0.0,0,2023-07-17,0.0,377,UAE
Meta,1437,15,6.0,0,2023-07-17,5.37,378,UAE
Meta,7571,35,1.0,0,2023-07-17,14.85,379,KSA
Apple Search,289,5,3.0,0,2023-07-18,3.73,380,KSA
Apple Search,964,16,6.0,0,2023-07-18,12.13,381,UAE
Snapchat,1039,9,0.0,0,2023-07-18,6.9,382,UAE
Snapchat,15515,85,0.0,0,2023-07-18,60.0,383,KSA
Snapchat,19400,199,1.0,1,2023-07-18,93.0,384,UAE
Snapchat,49590,474,16.0,15,2023-07-18,140.0,385,KSA
Google UAC,58350,2478,0.0,101,2023-07-18,203.02,386,KSA
Google UAC,37056,698,0.0,70,2023-07-18,76.3,387,UAE
Google UAC,70478,376,21.0,3,2023-07-18,149.02,388,KSA
Google UAC,26045,185,7.0,2,2023-07-18,94.14,389,UAE
TikTok,33831,990,0.0,3,2023-07-18,59.54,390,KSA
TikTok,12185,867,0.0,3,2023-07-18,40.2,391,UAE
TikTok,40458,12234,0.0,151,2023-07-18,139.91,392,KSA
TikTok,27138,6150,0.0,73,2023-07-18,92.25,393,UAE
Organic,0,0,0.0,12,2023-07-18,0.0,394,Others
Organic,0,0,0.0,26,2023-07-18,0.0,395,KSA
Organic,0,0,0.0,41,2023-07-18,0.0,396,Others
Organic,0,0,0.0,25,2023-07-18,0.0,397,UAE
Organic,0,0,0.0,74,2023-07-18,0.0,398,KSA
Organic,0,0,0.0,102,2023-07-18,0.0,399,UAE
Programmatic,217,9,0.0,0,2023-07-18,0.0,400,Others
Programmatic,5753,8,0.0,0,2023-07-18,0.0,401,KSA
Programmatic,17685,25,0.0,0,2023-07-18,0.0,402,UAE
Programmatic,1,16,0.0,0,2023-07-18,0.0,403,Others
Programmatic,627,47,0.0,0,2023-07-18,0.0,404,KSA
Programmatic,27,,0.0,0,2023-07-18,0.0,405,Others
Programmatic,7134,,0.0,0,2023-07-18,0.0,406,KSA
Programmatic,20204,416,0.0,66,2023-07-18,0.0,407,UAE
Programmatic,2076,,0.0,1,2023-07-18,3.25,408,UAE
Programmatic,,1,0.0,0,2023-07-18,0.0,409,Others
Meta,17664,72,4.0,1,2023-07-18,11.440000000000000,410,KSA
Meta,13581,60,1.0,1,2023-07-18,13.980000000000000,411,KSA
Meta,0,0,0.0,3,2023-07-18,0.0,412,KSA
Meta,0,0,0.0,1,2023-07-18,0.0,413,Others
Meta,0,0,0.0,1,2023-07-18,0.0,414,UAE
Apple Search,0,0,0.0,1,2023-07-18,0.0,415,Others
Apple Search,0,0,0.0,1,2023-07-18,0.0,416,Others
Apple Search,0,0,0.0,1,2023-07-18,0.0,417,UAE
Apple Search,0,0,0.0,2,2023-07-18,0.0,418,Others
Apple Search,0,0,0.0,1,2023-07-18,0.0,419,KSA
Google UAC,0,0,0.0,6,2023-07-18,0.0,420,Others
Google UAC,0,0,0.0,5,2023-07-18,0.0,421,KSA
Google UAC,0,0,0.0,5,2023-07-18,0.0,422,KSA
Google UAC,0,0,0.0,1,2023-07-18,0.0,423,KSA
Google UAC,0,0,0.0,3,2023-07-18,0.0,424,Others
Google UAC,0,0,0.0,2,2023-07-18,0.0,425,Others
Google UAC,0,0,0.0,1,2023-07-18,0.0,426,UAE
TikTok,0,0,0.0,0,2023-07-18,0.0,427,Others
